"","NSEI.Adjusted"
"685",5251.399902
"686",5237.100098
"687",5235.899902
"688",5289.049805
"689",5241.100098
"690",5296.850098
"691",5352.450195
"692",5383
"693",5400.649902
"694",5386.149902
"695",5378.75
"696",5393.899902
"697",5386.450195
"698",5368
"699",5399.350098
"700",5441.950195
"701",5449.100098
"702",5418.600098
"703",5430.600098
"704",5397.549805
"705",5408.899902
"706",5367.600098
"707",5431.649902
"708",5439.549805
"709",5467.850098
"710",5447.100098
"711",5439.25
"712",5486.149902
"713",5460.700195
"714",5420.600098
"715",5416.450195
"716",5452.100098
"717",5418.299805
"718",5414.149902
"719",5479.149902
"720",5540.200195
"721",5530.649902
"722",5543.5
"723",5505.100098
"724",5462.350098
"725",5477.899902
"726",5408.700195
"727",5415.450195
"728",5402.399902
"729",5471.850098
"730",5486.149902
"731",5479.399902
"732",5576.950195
"733",5604
"734",5607.850098
"735",5640.049805
"736",5760
"737",5795.549805
"738",5860.950195
"739",5828.700195
"740",5884.950195
"741",5980.450195
"742",6009.049805
"743",5991
"744",5959.549805
"745",6018.299805
"746",6035.649902
"747",6029.5
"748",5991.299805
"749",6029.950195
"750",6143.399902
"751",6159.450195
"752",6145.799805
"753",6186.450195
"754",6120.299805
"755",6103.450195
"756",6135.850098
"757",6090.899902
"758",6233.899902
"759",6177.350098
"760",6062.649902
"761",6075.950195
"762",6027.299805
"763",5982.100098
"764",6101.5
"765",6066.049805
"766",6105.799805
"767",6082
"768",6012.649902
"769",5987.700195
"770",6017.700195
"771",6117.549805
"772",6119
"773",6160.5
"774",6281.799805
"775",6273.200195
"776",6301.549805
"777",6275.700195
"778",6194.25
"779",6071.649902
"780",6121.600098
"781",5988.700195
"782",5998.799805
"783",5890.299805
"784",6010
"785",5934.75
"786",5865.75
"787",5799.75
"788",5751.950195
"789",5830
"790",5862.700195
"791",5960.899902
"792",6011.700195
"793",5992.799805
"794",5992.25
"795",5976.549805
"796",5903.700195
"797",5766.5
"798",5857.350098
"799",5907.649902
"800",5944.100098
"801",5892.299805
"802",5948.75
"803",5947.049805
"804",6000.649902
"805",5984.399902
"806",5980
"807",6011.600098
"808",5998.100098
"809",5996
"810",6060.350098
"811",6101.850098
"812",6134.5
"813",6157.600098
"814",6146.350098
"815",6079.799805
"816",6048.25
"817",5904.600098
"818",5762.850098
"819",5754.100098
"820",5863.25
"821",5751.899902
"822",5654.549805
"823",5654.75
"824",5724.049805
"825",5691.049805
"826",5711.600098
"827",5696.5
"828",5743.25
"829",5687.399902
"830",5604.299805
"831",5512.149902
"832",5505.899902
"833",5417.200195
"834",5432
"835",5526.75
"836",5395.75
"837",5396
"838",5312.549805
"839",5253.549805
"840",5225.799805
"841",5310
"842",5456
"843",5481
"844",5481.700195
"845",5546.450195
"846",5458.950195
"847",5518.600098
"848",5469.200195
"849",5437.350098
"850",5262.700195
"851",5303.549805
"852",5333.25
"853",5522.299805
"854",5536.200195
"855",5538.75
"856",5463.149902
"857",5520.799805
"858",5531
"859",5494.399902
"860",5445.450195
"861",5531.5
"862",5449.649902
"863",5511.149902
"864",5446.649902
"865",5373.700195
"866",5364.75
"867",5413.850098
"868",5480.25
"869",5522.399902
"870",5654.25
"871",5687.25
"872",5736.350098
"873",5787.649902
"874",5833.75
"875",5826.049805
"876",5908.450195
"877",5910.049805
"878",5891.75
"879",5885.700195
"880",5842
"881",5785.700195
"882",5911.5
"883",5824.549805
"884",5729.100098
"885",5740.75
"886",5851.649902
"887",5884.700195
"888",5874.5
"889",5868.399902
"890",5833.899902
"891",5785.450195
"892",5749.5
"893",5701.299805
"894",5565.25
"895",5537.149902
"896",5459.850098
"897",5551.450195
"898",5551.100098
"899",5541.25
"900",5565.049805
"901",5486.149902
"902",5544.75
"903",5499
"904",5438.950195
"905",5420.600098
"906",5428.100098
"907",5486.350098
"908",5386.549805
"909",5394.850098
"910",5348.950195
"911",5412.350098
"912",5476.100098
"913",5473.100098
"914",NA
"915",5592
"916",5550.350098
"917",5516.75
"918",5532.049805
"919",5556.149902
"920",5526.850098
"921",5521.049805
"922",5485.799805
"923",5482.799805
"924",5500.5
"925",5447.5
"926",5396.75
"927",5366.399902
"928",5257.899902
"929",5275.850098
"930",5278.299805
"931",5320
"932",5471.25
"933",5526.600098
"934",5545.299805
"935",5600.450195
"936",5647.399902
"937",5627.200195
"938",5650.5
"939",5632.100098
"940",5625.450195
"941",5728.950195
"942",5660.649902
"943",5616.100098
"944",5526.149902
"945",5585.450195
"946",5512.299805
"947",5581.100098
"948",5567.049805
"949",5613.549805
"950",5567.049805
"951",5541.600098
"952",5633.950195
"953",5680.299805
"954",5574.850098
"955",5546.799805
"956",5487.75
"957",5482
"958",5516.799805
"959",5456.549805
"960",5404.799805
"961",5331.799805
"962",5211.25
"963",5118.5
"964",5072.850098
"965",5161
"966",5138.299805
"967",5072.950195
"968",5035.799805
"969",5056.600098
"970",4944.149902
"971",4845.649902
"972",4898.799805
"973",4948.899902
"974",4888.899902
"975",4839.600098
"976",4747.799805
"977",4919.600098
"978",5001
"979",5040
"980",5017.200195
"981",5064.299805
"982",5124.649902
"983",5153.25
"984",5059.450195
"985",4946.799805
"986",4940.950195
"987",5012.549805
"988",5075.700195
"989",5084.25
"990",5031.950195
"991",5140.200195
"992",5133.25
"993",4923.649902
"994",4867.75
"995",4835.399902
"996",4971.25
"997",4945.899902
"998",5015.450195
"999",4943.25
"1000",4849.5
"1001",4772.149902
"1002",4751.299805
"1003",4888.049805
"1004",4979.600098
"1005",4974.350098
"1006",5099.399902
"1007",5077.850098
"1008",5132.299805
"1009",5118.25
"1010",5037.5
"1011",5139.149902
"1012",5091.899902
"1013",5049.950195
"1014",5098.350098
"1015",5191.600098
"1016",5360.700195
"1017",5326.600098
"1018",5257.950195
"1019",5258.450195
"1020",5265.75
"1021",5284.200195
"1022",5289.350098
"1023",5221.049805
"1024",5168.850098
"1025",5148.350098
"1026",5068.5
"1027",5030.450195
"1028",4934.75
"1029",4905.799805
"1030",4778.350098
"1031",4812.350098
"1032",4706.450195
"1033",NA
"1034",4710.049805
"1035",4851.299805
"1036",4805.100098
"1037",4832.049805
"1038",4936.850098
"1039",5050.149902
"1040",5039.149902
"1041",5062.600098
"1042",4943.649902
"1043",4866.700195
"1044",4764.600098
"1045",4800.600098
"1046",4763.25
"1047",4746.350098
"1048",4651.600098
"1049",4613.100098
"1050",4544.200195
"1051",4693.149902
"1052",4733.850098
"1053",4714
"1054",NA
"1055",4750.5
"1056",4705.799805
"1057",4646.25
"1058",4624.299805
"1059",NA
"1060",4765.299805
"1061",4749.649902
"1062",4749.950195
"1063",4754.100098
"1064",NA
"1065",4742.799805
"1066",4849.549805
"1067",4860.950195
"1068",4831.25
"1069",4866
"1070",4873.899902
"1071",4967.299805
"1072",4955.799805
"1073",5018.399902
"1074",5048.600098
"1075",5046.25
"1076",5127.350098
"1077",5158.299805
"1078",5204.700195
"1079",5087.299805
"1080",5199.25
"1081",5235.700195
"1082",5269.899902
"1083",5325.850098
"1084",5361.649902
"1085",5335.149902
"1086",5368.149902
"1087",5412.350098
"1088",5381.600098
"1089",5390.200195
"1090",5416.049805
"1091",5531.950195
"1092",5521.950195
"1093",5564.299805
"1094",5607.149902
"1095",5505.350098
"1096",5483.299805
"1097",5429.299805
"1098",5281.200195
"1099",5375.5
"1100",5385.200195
"1101",5339.75
"1102",5359.350098
"1103",NA
"1104",5280.350098
"1105",5222.399902
"1106",5220.450195
"1107",5333.549805
"1108",5359.549805
"1109",5429.5
"1110",5463.899902
"1111",5380.5
"1112",5317.899902
"1113",5257.049805
"1114",5274.850098
"1115",5364.950195
"1116",5228.450195
"1117",5278.200195
"1118",5184.25
"1119",5243.149902
"1120",5194.75
"1121",5178.850098
"1122",5295.549805
"1123",5317.899902
"1124",5358.5
"1125",5322.899902
"1126",5234.399902
"1127",5243.600098
"1128",5226.850098
"1129",5276.850098
"1130",5207.450195
"1131",5226.200195
"1132",5289.700195
"1133",5300
"1134",5332.399902
"1135",5290.850098
"1136",5200.600098
"1137",5222.649902
"1138",5202
"1139",5189
"1140",5190.600098
"1141",5248.149902
"1142",5239.149902
"1143",5188.399902
"1144",5086.850098
"1145",5114.149902
"1146",4999.950195
"1147",4974.799805
"1148",4965.700195
"1149",4928.899902
"1150",4907.799805
"1151",4942.799805
"1152",4858.25
"1153",4870.200195
"1154",4891.450195
"1155",NA
"1156",4860.5
"1157",4835.649902
"1158",4921.399902
"1159",4920.399902
"1160",4985.649902
"1161",4990.100098
"1162",4950.75
"1163",4924.25
"1164",4841.600098
"1165",4848.149902
"1166",4863.299805
"1167",4997.100098
"1168",5049.649902
"1169",5068.350098
"1170",5054.100098
"1171",5115.899902
"1172",5121.450195
"1173",5054.75
"1174",5139.049805
"1175",5064.25
"1176",5103.850098
"1177",5120.549805
"1178",5165
"1179",5146.049805
"1180",5114.649902
"1181",5120.799805
"1182",5141.899902
"1183",5149.149902
"1184",5278.899902
"1185",5278.600098
"1186",5287.950195
"1187",5302.549805
"1188",5327.299805
"1189",5316.950195
"1190",5275.149902
"1191",5345.350098
"1192",5306.299805
"1193",5235.25
"1194",5227.25
"1195",5197.25
"1196",5192.850098
"1197",5216.299805
"1198",5242.700195
"1199",5205.100098
"1200",5117.950195
"1201",5128.200195
"1202",5109.600098
"1203",5043
"1204",5099.850098
"1205",5199.799805
"1206",5229
"1207",5240.5
"1208",5227.75
"1209",5215.700195
"1210",5282.549805
"1211",5336.700195
"1212",5338
"1213",5322.950195
"1214",5320.399902
"1215",5347.899902
"1216",5380.350098
"1217",5362.950195
"1218",5366.299805
"1219",5421
"1220",5412.850098
"1221",5415.350098
"1222",5386.700195
"1223",5350.25
"1224",NA
"1225",5287.799805
"1226",5315.049805
"1227",5258.5
"1228",5253.75
"1229",5274
"1230",5225.700195
"1231",5238.399902
"1232",5342.100098
"1233",NA
"1234",5363.450195
"1235",5390
"1236",5431
"1237",5435.350098
"1238",5577.649902
"1239",5610
"1240",5600.049805
"1241",5554.25
"1242",5691.149902
"1243",5669.600098
"1244",5673.899902
"1245",5663.450195
"1246",5649.5
"1247",5703.299805
"1248",5718.799805
"1249",5731.25
"1250",5787.600098
"1251",5746.950195
"1252",5676
"1253",5704.600098
"1254",5652.149902
"1255",5708.049805
"1256",5676.049805
"1257",5687.25
"1258",5648
"1259",5660.25
"1260",5718.700195
"1261",5684.25
"1262",5717.149902
"1263",5691.399902
"1264",5705.299805
"1265",5665.600098
"1266",5597.899902
"1267",5619.700195
"1268",5645.049805
"1269",5697.700195
"1270",5704.200195
"1271",5724.399902
"1272",5760.100098
"1273",5738.75
"1274",5686.25
"1275",NA
"1276",5683.700195
"1277",5631
"1278",5574.049805
"1279",5571.399902
"1280",5571.549805
"1281",5614.799805
"1282",5627.75
"1283",5626.600098
"1284",5635.899902
"1285",5727.450195
"1286",5825
"1287",5879.850098
"1288",5870.950195
"1289",5889.25
"1290",5900.5
"1291",5930.899902
"1292",5907.399902
"1293",5908.899902
"1294",5898.799805
"1295",5888
"1296",5851.5
"1297",5879.600098
"1298",5857.899902
"1299",5896.799805
"1300",5929.600098
"1301",5916.399902
"1302",5847.700195
"1303",5855.75
"1304",5905.600098
"1305",5870.100098
"1306",5908.350098
"1307",5905.100098
"1308",NA
"1309",5993.25
"1310",6009.5
"1311",6016.149902
"1312",5988.399902
"1313",6001.700195
"1314",5971.5
"1315",5968.649902
"1316",5951.299805
"1317",6024.049805
"1318",6056.600098
"1319",6001.850098
"1320",6039.200195
"1321",6064.399902
"1322",6082.299805
"1323",6048.5
"1324",6054.299805
"1325",6019.350098
"1326",6074.649902
"1327",6074.799805
"1328",6049.899902
"1329",6055.75
"1330",6034.75
"1331",5998.899902
"1332",5987.25
"1333",5956.899902
"1334",5959.200195
"1335",5938.799805
"1336",5903.5
"1337",5897.850098
"1338",5922.5
"1339",5932.950195
"1340",5896.950195
"1341",5887.399902
"1342",5898.200195
"1343",5939.700195
"1344",5943.049805
"1345",5852.25
"1346",5850.299805
"1347",5854.75
"1348",5761.350098
"1349",5796.899902
"1350",5693.049805
"1351",5719.700195
"1352",5698.5
"1353",5784.25
"1354",5818.600098
"1355",5863.299805
"1356",5945.700195
"1357",5942.350098
"1358",5914.100098
"1359",5851.200195
"1360",5908.950195
"1361",5872.600098
"1362",5835.25
"1363",5745.950195
"1364",5694.399902
"1365",5658.75
"1366",5651.350098
"1367",5633.850098
"1368",5641.600098
"1369",5682.549805
"1370",5704.399902
"1371",5748.100098
"1372",5672.899902
"1373",5574.75
"1374",5553.25
"1375",5542.950195
"1376",5495.100098
"1377",5558.700195
"1378",5594
"1379",5528.549805
"1380",5568.399902
"1381",5688.950195
"1382",5688.700195
"1383",5783.100098
"1384",5834.399902
"1385",5836.899902
"1386",5916.299805
"1387",5871.450195
"1388",5904.100098
"1389",5930.200195
"1390",5999.350098
"1391",5944
"1392",5971.049805
"1393",6043.549805
"1394",6069.299805
"1395",6050.149902
"1396",6094.75
"1397",5980.450195
"1398",5995.399902
"1399",6146.75
"1400",6169.899902
"1401",6187.299805
"1402",6156.899902
"1403",6114.100098
"1404",6094.5
"1405",5967.049805
"1406",5983.549805
"1407",6083.149902
"1408",6111.25
"1409",6104.299805
"1410",6124.049805
"1411",5985.950195
"1412",5939.299805
"1413",5919.450195
"1414",5923.850098
"1415",5921.399902
"1416",5881
"1417",5878
"1418",5788.799805
"1419",5760.200195
"1420",5699.100098
"1421",5808.399902
"1422",5850.049805
"1423",5813.600098
"1424",5822.25
"1425",5655.899902
"1426",5667.649902
"1427",5590.25
"1428",5609.100098
"1429",5588.700195
"1430",5682.350098
"1431",5842.200195
"1432",5898.850098
"1433",5857.549805
"1434",5770.899902
"1435",5836.950195
"1436",5867.899902
"1437",5811.549805
"1438",5859
"1439",5816.700195
"1440",5935.100098
"1441",6009
"1442",6030.799805
"1443",5955.25
"1444",5973.299805
"1445",6038.049805
"1446",6029.200195
"1447",6031.799805
"1448",6077.799805
"1449",5990.5
"1450",5907.5
"1451",5886.200195
"1452",5831.649902
"1453",5755.049805
"1454",5742
"1455",5727.850098
"1456",5677.899902
"1457",5685.399902
"1458",5542.25
"1459",5519.100098
"1460",5565.649902
"1461",5612.399902
"1462",5699.299805
"1463",5742.299805
"1464",5507.850098
"1465",5414.75
"1466",5401.450195
"1467",5302.549805
"1468",5408.450195
"1469",5471.75
"1470",5476.5
"1471",5287.450195
"1472",5285
"1473",5409.049805
"1474",5471.799805
"1475",5550.75
"1476",5341.450195
"1477",5448.100098
"1478",5592.950195
"1479",5680.399902
"1480",5896.75
"1481",5913.149902
"1482",5850.700195
"1483",5850.600098
"1484",5840.549805
"1485",5850.200195
"1486",5899.450195
"1487",6115.549805
"1488",6012.100098
"1489",5889.75
"1490",5892.450195
"1491",5873.850098
"1492",5882.25
"1493",5833.200195
"1494",5735.299805
"1495",5780.049805
"1496",5909.700195
"1497",5907.299805
"1498",5906.149902
"1499",5928.399902
"1500",6007.450195
"1501",6020.950195
"1502",6096.200195
"1503",6112.700195
"1504",6089.049805
"1505",6045.850098
"1506",6189.350098
"1507",6204.950195
"1508",6202.799805
"1509",6178.350098
"1510",6164.350098
"1511",6144.899902
"1512",6101.100098
"1513",6220.899902
"1514",6251.700195
"1515",6299.149902
"1516",6307.200195
"1517",6253.149902
"1518",6215.149902
"1519",6187.25
"1520",6140.75
"1521",6078.799805
"1522",6018.049805
"1523",5989.600098
"1524",6056.149902
"1525",6189
"1526",6203.350098
"1527",6122.899902
"1528",5999.049805
"1529",5995.450195
"1530",6115.350098
"1531",6059.100098
"1532",6057.100098
"1533",6091.850098
"1534",6176.100098
"1535",6217.850098
"1536",6201.850098
"1537",6160.950195
"1538",6241.100098
"1539",6259.899902
"1540",6363.899902
"1541",6332.850098
"1542",6307.899902
"1543",6237.049805
"1544",6168.399902
"1545",6154.700195
"1546",6139.049805
"1547",6217.149902
"1548",6166.649902
"1549",6274.25
"1550",6284.5
"1551",6268.399902
"1552",6278.899902
"1553",6313.799805
"1554",6291.100098
