"","year","bobVaR"
"1",2004,-0.0510558207354292
"2",2005,-0.0478042913769995
"3",2006,-0.0386010240512109
"4",2007,-0.0372185914819928
"5",2008,-0.0518696657199017
"6",2009,-0.0523511656539701
"7",2010,-0.0341271593368053
"8",2011,-0.0242736644049237
"9",2012,-0.0357369327880322
"10",2013,-0.0293218438703425
"11",2014,-0.047381499840998
"12",2015,-0.0332214714587244
"13",2016,-0.04223396306277
"14",2017,-0.0334790995912731
"15",2018,-0.0354082519334676
