"","NSEBANK.Adjusted"
"365",3736.649902
"366",3644.649902
"367",3727.649902
"368",3763.5
"369",3691.699951
"370",3944.75
"371",4008.050049
"372",4126.450195
"373",4285.149902
"374",4406.799805
"375",4035.699951
"376",4133.200195
"377",4211.450195
"378",4426.049805
"379",4487.100098
"380",4479.350098
"381",4584.799805
"382",4818
"383",5049.450195
"384",4915.75
"385",5056.899902
"386",5009.200195
"387",4853.899902
"388",4813.299805
"389",4968.399902
"390",5125.350098
"391",5182.75
"392",4931.299805
"393",5130.950195
"394",NA
"395",5504.049805
"396",5596.200195
"397",5446.450195
"398",5577.299805
"399",5409.75
"400",5343.600098
"401",5585.549805
"402",5523.75
"403",5495.100098
"404",5695.049805
"405",6766.549805
"406",7268.200195
"407",7128.600098
"408",6905.049805
"409",7036.299805
"410",7049.75
"411",6851.100098
"412",7215.200195
"413",7338.600098
"414",7414.350098
"415",7376
"416",7374.549805
"417",7262.299805
"418",7347.350098
"419",7348.399902
"420",6975.049805
"421",7185.75
"422",7338.950195
"423",7251.649902
"424",7083.100098
"425",7081.200195
"426",7274.149902
"427",7081.75
"428",7081.149902
"429",7223.549805
"430",7229.549805
"431",7091.299805
"432",7107.899902
"433",7123
"434",7398.450195
"435",7508.600098
"436",7338.850098
"437",7452.600098
"438",7397.950195
"439",7566.049805
"440",6946.450195
"441",6952.600098
"442",6661.75
"443",6672.75
"444",6520.600098
"445",6531.299805
"446",6756.399902
"447",6938.700195
"448",6912.399902
"449",7231.049805
"450",7530.200195
"451",7430.399902
"452",7329.549805
"453",7473.5
"454",7385.549805
"455",7398.649902
"456",7312.549805
"457",7224.200195
"458",7389.700195
"459",7544.5
"460",7650.100098
"461",7617.799805
"462",7607.5
"463",7471.799805
"464",7249.5
"465",7160
"466",7218.25
"467",7172.049805
"468",7472.399902
"469",7418.950195
"470",7104.850098
"471",7207.25
"472",7106.700195
"473",7261.200195
"474",7377.100098
"475",7507.399902
"476",7424.5
"477",7418.350098
"478",7385.649902
"479",7482.399902
"480",7431.649902
"481",7377.200195
"482",7339.549805
"483",7351
"484",7444.149902
"485",7650.649902
"486",7717.899902
"487",7776.200195
"488",7828.299805
"489",7914.950195
"490",7985.600098
