"","year","canVaR"
"1",2004,-0.0509911759651239
"2",2005,-0.0430512784844598
"3",2006,-0.0313974471476967
"4",2007,-0.0530923690667902
"5",2008,-0.0501219893757178
"6",2009,-0.0479698958130518
"7",2010,-0.0373000888928664
"8",2011,-0.0344471231810678
"9",2012,-0.0393137525545552
"10",2013,-0.0352729902479024
"11",2014,-0.0496030360319666
"12",2015,-0.0420305433829277
"13",2016,-0.0408602921647305
"14",2017,-0.0378454159022782
"15",2018,-0.0417306400517004
