"","year","boiVaR"
"1",2004,-0.0456737194567033
"2",2005,-0.0419426624679162
"3",2006,-0.0403717151737062
"4",2007,-0.0502344701864839
"5",2008,-0.0612029911123873
"6",2009,-0.062820881036421
"7",2010,-0.0404481930151136
"8",2011,-0.0345347258504696
"9",2012,-0.0426220236450333
"10",2013,-0.0355899233621402
"11",2014,-0.0544192227359897
"12",2015,-0.0460578086430327
"13",2016,-0.0415130601838499
"14",2017,-0.0325821915202147
"15",2018,-0.0416211436240285
