bank,year,VaR,cd,id,int_tota,roa,roe,roi,car,npa_adv
1,2005,-0.038154522,4.58,53.70,3.21,0.99,19.43,8.37,12.45,2.65
1,2006,-0.024968851,5.70,42.77,3.27,0.89,17.04,7.77,11.88,1.88
1,2007,-0.038497679,6.68,34.25,2.84,0.84,15.41,6.71,12.34,1.56
1,2008,-0.04349105,9.59,35.26,2.64,1.01,16.75,7.05,13.54,1.78
1,2009,-0.06047852,7.49,37.19,2.48,1.04,17.05,6.69,14.25,1.79
1,2010,-0.034748602,7.62,36.78,2.35,0.88,14.80,6.20,13.39,1.72
1,2011,-0.033736049,10.11,31.65,2.86,0.71,12.62,6.71,11.98,1.63
1,2012,-0.036518641,5.18,29.91,3.38,0.88,15.72,7.88,13.86,1.82
1,2013,-0.033018862,5.47,29.17,3.06,0.97,15.43,8.20,12.92,2.10
1,2014,-0.028899558,6.09,28.60,2.93,0.65,10.03,8.52,12.44,2.57
1,2015,-0.026281131,7.35,30.55,2.86,0.68,10.62,8.03,12.00,2.12
1,2016,-0.03355524,7.49,33.26,2.60,0.46,7.30,8.00,13.12,3.81
1,2017,-0.026676591,6.26,37.46,2.44,0.41,6.31,7.19,13.11,3.71
1,2018,-0.026265446,5.56,39.20,2.43,-0.19,-3.21,7.70,12.60,5.73
2,2005,-0.047804291,3.33,45.58,3.31,0.75,12.58,7.96,12.61,1.89
2,2006,-0.038601024,3.56,37.49,3.05,0.79,12.28,8.05,13.65,0.87
2,2007,-0.037218591,5.13,27.97,2.79,0.80,12.45,7.31,11.80,0.60
2,2008,-0.051869666,6.16,28.86,2.42,0.89,14.58,6.95,12.94,0.47
2,2009,-0.052351166,5.51,27.26,2.52,1.09,18.62,6.87,14.05,0.31
2,2010,-0.034127159,5.61,25.36,2.35,1.21,21.86,6.43,14.36,0.34
2,2011,-0.024273664,6.50,23.38,2.76,1.33,23.47,7.20,14.52,0.35
2,2012,-0.035736933,5.63,21.62,2.56,1.24,20.64,8.00,14.67,0.54
2,2013,-0.029321844,2.84,25.62,2.28,0.90,15.07,7.32,13.30,1.28
2,2014,-0.0473815,3.27,20.41,1.98,0.75,13.36,7.32,12.28,1.52
2,2015,-0.033221471,3.64,18.92,1.92,0.49,8.96,8.10,12.61,1.89
2,2016,-0.042233963,3.78,20.98,1.84,-0.78,-13.48,9.00,13.18,5.06
2,2017,-0.0334791,3.79,21.54,1.98,0.20,3.44,8.47,12.24,4.72
2,2018,-0.035408252,3.84,27.60,2.19,-0.34,-5.81,7.12,12.13,5.49
3,2005,-0.041942662,4.95,36.39,2.49,0.38,8.03,7.62,11.52,2.80
3,2006,-0.040371715,5.95,33.83,2.54,0.68,14.85,7.15,10.75,1.49
3,2007,-0.05023447,6.00,29.61,2.71,0.88,20.65,6.59,11.75,0.95
3,2008,-0.061202991,7.83,27.87,2.64,1.25,24.38,6.83,12.04,0.52
3,2009,-0.062820881,4.70,27.73,2.72,1.49,24.97,7.14,13.01,0.44
3,2010,-0.040448193,6.79,29.20,2.30,0.70,12.56,7.46,12.94,1.31
3,2011,-0.034534726,7.29,28.73,2.49,0.82,15.79,6.76,12.17,0.91
3,2012,-0.042622024,4.71,27.26,2.26,0.72,14.00,8.27,11.95,1.47
3,2013,-0.035589923,5.75,24.78,2.16,0.65,12.25,8.01,11.02,2.06
3,2014,-0.054419223,4.00,23.93,2.11,0.51,10.14,8.05,9.97,2.00
3,2015,-0.046057809,5.11,22.52,1.91,0.27,5.57,8.07,10.73,3.36
3,2016,-0.04151306,6.62,23.17,1.91,0.94,-19.50,7.50,12.01,7.79
3,2017,-0.032582192,5.06,23.67,1.91,-0.24,-5.04,7.35,12.14,6.90
3,2018,-0.041621144,6.02,26.32,1.70,-0.91,-18.23,6.91,12.94,8.28
5,2005,-0.053642677,7.53,38.64,3.58,1.59,31.62,7.85,12.11,0.28
5,2006,-0.029373197,11.38,33.74,3.19,1.38,20.52,7.16,14.00,0.24
5,2007,-0.034371735,7.11,34.50,3.21,1.31,17.78,6.96,11.33,0.17
5,2008,-0.048423009,9.92,30.14,2.57,1.16,17.97,6.63,11.61,0.15
5,2009,-0.042881222,8.17,28.47,2.60,1.09,18.94,6.91,13.22,0.18
5,2010,-0.031464761,8.62,26.88,2.76,1.39,25.96,6.29,13.93,0.17
5,2011,-0.029465981,7.80,26.26,3.23,1.36,23.24,6.83,14.38,0.38
5,2012,-0.037711419,5.26,27.99,3.22,1.19,19.25,7.33,13.18,0.91
5,2013,-0.033404255,4.86,30.40,2.77,0.99,16.19,7.36,11.76,2.45
5,2014,-0.035918469,5.58,31.98,2.38,0.29,5.07,7.25,10.78,3.11
5,2015,-0.042523878,4.85,29.55,2.57,0.38,6.79,7.58,10.63,2.93
5,2016,-0.036429956,5.04,30.90,2.76,0.28,5.13,7.78,11.58,4.61
5,2017,-0.03652424,4.77,30.54,2.62,0.08,1.56,7.45,12.38,7.57
5,2018,-0.04081228,4.76,31.13,2.72,-1.46,-30.76,7.21,11.00,8.48
6,2005,-0.043051278,5.15,39.31,3.01,1.01,19.53,8.28,12.78,1.88
6,2006,-0.031397447,6.78,31.66,2.95,1.13,20.29,7.61,11.22,1.12
6,2007,-0.053092369,6.39,31.76,2.70,0.98,16.25,8.09,13.50,0.94
6,2008,-0.050121989,8.67,32.33,2.04,0.92,15.01,8.03,13.25,0.84
6,2009,-0.047969896,5.37,30.91,2.36,1.06,18.25,7.62,14.10,1.09
6,2010,-0.037300089,6.70,29.69,2.35,1.30,22.48,7.18,13.43,1.06
6,2011,-0.034447123,7.50,28.50,2.56,1.42,23.20,7.36,15.38,1.10
6,2012,-0.039313753,5.44,31.21,2.17,0.95,15.36,7.59,13.76,1.46
6,2013,-0.03527299,4.33,34.04,2.00,0.77,12.08,8.17,12.40,2.18
6,2014,-0.049603036,5.27,30.15,1.98,0.54,8.95,8.27,10.63,1.98
6,2015,-0.042030543,4.64,29.98,1.86,0.55,8.79,7.92,10.56,2.65
6,2016,-0.040860292,4.31,29.66,1.77,-0.52,-8.86,8.02,11.08,6.42
6,2017,-0.037845416,4.02,30.34,1.74,0.20,3.44,7.32,12.86,6.33
6,2018,-0.04173064,4.21,27.45,2.03,-0.75,-12.19,7.08,13.22,7.48
7,2005,-0.044802076,7.05,37.68,3.58,1.12,13.81,8.40,16.23,1.12
7,2006,-0.035878604,4.99,32.40,3.30,1.24,13.82,8.16,13.92,0.64
7,2007,-0.052633064,7.04,34.04,2.81,1.17,15.02,6.62,12.76,0.47
7,2008,-0.046134711,12.82,31.26,2.42,1.29,18.39,6.79,12.09,0.32
7,2009,-0.045159793,7.56,33.71,2.20,1.24,19.57,7.13,13.61,0.29
7,2010,-0.029803202,9.53,37.23,1.92,1.28,21.93,6.00,15.37,0.31
7,2011,-0.026819926,6.97,37.22,2.30,1.21,21.89,5.97,14.11,0.46
7,2012,-0.02432835,6.82,34.87,2.05,1.06,19.54,6.75,13.00,0.87
7,2013,-0.016652827,5.33,35.04,1.92,0.88,16.08,6.50,12.33,1.19
7,2014,-0.028864352,7.10,34.23,1.82,0.29,5.72,6.82,11.65,2.32
7,2015,-0.027922218,5.09,26.74,1.82,0.28,5.68,6.97,11.09,3.08
7,2016,-0.033301521,4.92,30.84,1.84,-0.23,-4.64,7.22,10.56,6.53
7,2017,-0.026988487,7.93,29.05,1.84,0.23,4.66,8.12,11.32,8.33
7,2018,-0.036246435,6.08,38.38,2.06,-1.67,-34.42,7.68,9.23,11.74
8,2005,-0.042361773,7.13,46.40,2.97,0.26,5.65,8.35,11.91,5.23
8,2006,-0.032579983,7.14,36.28,2.86,0.29,5.98,7.82,10.62,3.04
8,2007,-0.048329291,7.07,33.35,2.95,0.71,14.22,7.47,11.52,1.99
8,2008,-0.056639359,10.41,30.29,2.45,1.06,21.82,7.09,11.09,0.94
8,2009,-0.052246466,11.57,28.97,2.44,1.02,21.29,7.28,12.07,1.09
