Date	Price	Open	High	Low	Change
17-Feb-13	64.4	65.87	66.1	63.26	-2.04
24-Feb-13	61.5	64.84	65.02	61.43	-4.5
03-Mar-13	61.67	61.11	62.2	59.86	0.28
10-Mar-13	63.38	61.39	63.46	60.73	2.77
17-Mar-13	65.99	63.06	66.01	63.03	4.12
24-Mar-13	63.24	66.38	67.14	63.09	-4.17
31-Mar-13	60.46	63.13	63.39	59.95	-4.4
07-Apr-13	61.4	60.69	62.57	60.36	1.55
14-Apr-13	55.79	61	61.13	55.01	-9.14
21-Apr-13	59.6	56.09	59.82	55.9	6.83
28-Apr-13	64.28	60.06	64.75	60	7.85
05-May-13	64.71	65.1	66.54	64.35	0.67
12-May-13	61.89	64.5	65.41	59.84	-4.36
19-May-13	63.59	61.7	64.05	61.44	2.75
26-May-13	64.25	64.27	65.3	62.77	1.04
02-Jun-13	63.12	64.39	64.92	61.82	-1.76
09-Jun-13	61.44	63.53	64.15	61.21	-2.66
16-Jun-13	59.07	61.63	62.24	58.3	-3.86
23-Jun-13	56.65	58.2	58.38	55.55	-4.1
30-Jun-13	59.63	57.53	60.47	57.32	5.26
07-Jul-13	60.93	60.02	61.4	58.63	2.18
14-Jul-13	60.71	60.72	62.12	60.6	-0.36
21-Jul-13	63	61.35	63.51	59.82	3.77
28-Jul-13	66.08	62.97	66.12	62.89	4.89
04-Aug-13	64.92	66.38	67.41	64.81	-1.76
11-Aug-13	71.76	65.27	72.04	65.23	10.54
18-Aug-13	71.57	72.05	73.39	71.17	-0.26
25-Aug-13	69.6	71.54	72.89	69.43	-2.75
01-Sep-13	71.17	70.44	71.75	69.62	2.26
08-Sep-13	66.41	72.14	72.56	66.39	-6.69
15-Sep-13	66.77	65.86	68.36	63.89	0.54
22-Sep-13	68.96	70.87	70.99	68.67	3.28
29-Sep-13	69	68.18	70.34	67.77	0.06
06-Oct-13	70.4	69.51	70.55	68.33	2.03
13-Oct-13	72.7	69.98	72.75	69.91	3.27
20-Oct-13	75.14	73.11	76.18	72.58	3.36
27-Oct-13	74.29	75.58	77.04	73.51	-1.13
03-Nov-13	74.37	74.44	75.55	73.2	0.11
10-Nov-13	75	74.28	75.61	73.49	0.85
17-Nov-13	74.26	75	75.31	73.38	-0.99
24-Nov-13	79.44	74.43	79.76	74.43	6.98
01-Dec-13	80	79.71	82.16	78.69	0.7
08-Dec-13	79.2	80.13	81.57	79.1	-1
15-Dec-13	78.43	79.29	80.38	76.97	-0.97
22-Dec-13	80.01	81.14	81.7	79.93	2.01
29-Dec-13	77.28	79.64	80.18	77.2	-3.41
05-Jan-14	76.13	76.78	78.12	75.87	-1.49
12-Jan-14	77.24	75.7	80.03	75.7	1.46
19-Jan-14	78.01	77.28	79.61	77.2	1
26-Jan-14	71.51	78.58	79.26	70.51	-8.33
02-Feb-14	74.24	71.8	74.7	71.33	3.82
09-Feb-14	77.71	74.09	78	74	4.67
16-Feb-14	75.04	78	78.74	74.94	-3.44
23-Feb-14	75.18	74.74	76.11	73.66	0.19
02-Mar-14	75.78	74.77	76.39	74.69	0.8
09-Mar-14	74.96	75.48	77.09	74.71	-1.08
16-Mar-14	76.12	75.39	76.61	75.03	1.55
23-Mar-14	76.69	76.92	78.43	76.32	0.75
30-Mar-14	75.97	77.03	77.64	75.8	-0.94
06-Apr-14	74.23	75.43	76.03	73.88	-2.29
13-Apr-14	74.99	74.56	75.39	73.05	1.02
20-Apr-14	81.71	75.05	81.71	74.85	8.96
27-Apr-14	84.65	81.83	85.63	81.79	3.6
04-May-14	83.65	84.31	86.34	82.9	-1.18
11-May-14	85.36	83.93	85.36	83.63	2.04
18-May-14	87.73	85.41	87.82	85.33	2.78
25-May-14	90.43	87.98	92.02	87.95	3.08
01-Jun-14	92.22	90.57	93.04	88.93	1.98
08-Jun-14	91.28	92.7	95.05	90.88	-1.02
15-Jun-14	90.91	91.51	92.75	90.9	-0.41
22-Jun-14	91.98	91.32	92	89.65	1.18
29-Jun-14	94.03	92.1	94.1	92.09	2.23
06-Jul-14	95.22	94.14	96.8	93.52	1.27
13-Jul-14	94.43	95.86	97.1	92.57	-0.83
20-Jul-14	97.67	94.99	97.88	93.72	3.43
27-Jul-14	96.13	97.82	99.44	94.81	-1.58
03-Aug-14	94.74	96.37	96.58	93.28	-1.45
10-Aug-14	97.98	95.27	98.19	94.84	3.42
17-Aug-14	101.32	98.49	101.47	97.98	3.41
24-Aug-14	102.5	101.79	102.9	100.7	1.16
31-Aug-14	98.97	103.06	103.74	97.79	-3.44
07-Sep-14	101.66	99.3	103.08	96.14	2.72
14-Sep-14	100.96	102.81	103.05	98.89	-0.69
21-Sep-14	100.75	101.8	102.94	97.72	-0.21
28-Sep-14	99.62	98.65	101.54	98.04	-1.12
05-Oct-14	100.73	99.95	102.38	98.31	1.11
12-Oct-14	97.67	101.33	101.78	95.18	-3.04
19-Oct-14	105.22	98.31	105.49	98.22	7.73
26-Oct-14	108	104.85	108.04	104.7	2.64
02-Nov-14	109.01	108.22	110.3	107.72	0.94
