Date,Open,High,Low,Close,Adj Close,Volume,Returns,Change
03-01-12,58.485714,58.92857,58.42857,58.747143,39.172771,75555200,,
04-01-12,58.57143,59.240002,58.468571,59.062859,39.383293,65005500,0.54,0.54
05-01-12,59.278572,59.792858,58.952858,59.718571,39.820515,67817400,1.11,1.65
06-01-12,59.967144,60.392857,59.888573,60.342857,40.236809,79573200,1.05,2.72
09-01-12,60.785713,61.107143,60.192856,60.247143,40.17297,98506100,-0.16,2.55
10-01-12,60.844284,60.857143,60.214287,60.462856,40.316807,64549100,0.36,2.92
11-01-12,60.382858,60.407143,59.901428,60.364285,40.251083,53771200,-0.16,2.75
12-01-12,60.325714,60.414288,59.82143,60.19857,40.140579,53146800,-0.27,2.47
13-01-12,59.957142,60.064285,59.808571,59.972858,39.990093,56505400,-0.37,2.09
17-01-12,60.599998,60.855713,60.422855,60.671429,40.455898,60724300,1.16,3.28
18-01-12,60.994286,61.352856,60.900002,61.30143,40.875977,69197800,1.04,4.35
19-01-12,61.450001,61.624287,60.93,61.107143,40.746429,65434600,-0.32,4.02
20-01-12,61.07,61.07143,59.964287,60.042858,40.03677,103493600,-1.74,2.21
23-01-12,60.381428,61.207142,60.328571,61.058571,40.714039,76515600,1.69,3.93
24-01-12,60.728573,60.728573,59.935715,60.058571,40.047241,136909500,-1.64,2.23
25-01-12,64.919998,64.921425,63.389999,63.808571,42.547745,239578500,6.24,8.62
26-01-12,64.05143,64.112854,63.305714,63.51857,42.354374,80996300,-0.45,8.12
27-01-12,63.477142,64.068573,63.395714,63.897144,42.606808,74927300,0.6,8.77
30-01-12,63.672855,64.842857,63.627144,64.715714,43.152634,94835300,1.28,10.16
31-01-12,65.084282,65.46286,64.724289,65.211426,43.483173,97920900,0.77,11
01-02-12,65.487144,65.57,65.078575,65.169998,43.455555,67511500,-0.06,10.93
02-02-12,65.128571,65.309998,64.854286,65.017143,43.353626,46699100,-0.23,10.67
03-02-12,65.328575,65.714287,65.080002,65.668571,43.787991,71649900,1,11.78
06-02-12,65.482857,66.425713,65.457146,66.281425,44.196655,62353200,0.93,12.82
07-02-12,66.464287,67.10714,66.368568,66.975716,44.659607,79055900,1.05,14.01
08-02-12,67.214287,68.112854,67.099998,68.097145,45.407379,101972500,1.67,15.92
09-02-12,68.68,70.964287,68.651428,70.452858,46.978184,221053700,3.46,19.93
10-02-12,70.137146,71.08857,69.792854,70.488571,47.001984,157825500,0.05,19.99
13-02-12,71.361427,71.975716,71.012856,71.800003,47.876461,129304000,1.86,22.22
14-02-12,72.094284,72.794289,71.714287,72.779999,48.529926,115099600,1.36,23.89
15-02-12,73.465714,75.184288,70.984283,71.095711,47.40683,376530000,-2.31,21.02
16-02-12,70.214287,72.127144,69.51857,71.744286,47.839321,236138000,0.91,22.12
17-02-12,71.872856,72.538574,71.471428,71.73143,47.83073,133951300,-0.02,22.1
21-02-12,72.41143,73.550003,72.017143,73.550003,49.043362,151398800,2.54,25.2
22-02-12,73.297142,73.641426,72.724289,73.291428,48.870945,120825600,-0.35,24.76
23-02-12,73.582855,73.975716,72.785713,73.769997,49.190063,142006900,0.65,25.57
24-02-12,74.238571,74.699997,74.091431,74.629997,49.763515,103768000,1.17,27.04
27-02-12,74.472855,75.5,73.754288,75.108574,50.08263,136895500,0.64,27.85
28-02-12,75.422859,76.487144,75.121429,76.487144,51.001869,150096800,1.84,30.2
29-02-12,77.365715,78.230003,76.528572,77.491432,51.67152,238002800,1.31,31.91
01-03-12,78.309998,78.315712,76.96714,77.781425,51.864895,170817500,0.37,32.4
02-03-12,77.748573,78.114288,77.502853,77.882858,51.932507,107928100,0.13,32.57
05-03-12,77.917145,78.211426,75.14286,76.165718,50.787521,202281100,-2.2,29.65
06-03-12,74.808571,76.241432,73.745712,75.751427,50.511272,202559700,-0.54,28.94
07-03-12,76.685715,76.825714,74.757141,75.812859,50.552238,199630200,0.08,29.05
08-03-12,76.384285,77.57,76.017143,77.427139,51.628654,129114300,2.13,31.8
09-03-12,77.744286,78.248573,77.587143,77.881432,51.931568,104729800,0.59,32.57
