Date,Open,High,Low,Close,,
18-Jan-10,17538.72,17712.6,17505.5,17641.08,0.004931339,0
19-Jan-10,17650.82,17664.86,17463.78,17486.06,-0.008826281,-0.01
20-Jan-10,17486.69,17590.59,17425.05,17474.49,-0.000661889,0
21-Jan-10,17474.49,17474.49,17025.26,17051.14,-0.024525039,-0.02
22-Jan-10,16978.36,17000.33,16608.09,16859.68,-0.011292091,-0.01
25-Jan-10,16847.7,16877.77,16705.56,16780.46,-0.004709858,0
27-Jan-10,16708.6,16708.6,16230.85,16289.82,-0.029674741,-0.03
28-Jan-10,16317.16,16524.69,16182.14,16306.87,0.001046119,0
29-Jan-10,16253.82,16390.31,15982.08,16357.96,0.003128138,0
01-Feb-10,16339.32,16422.4,16160.8,16356.03,-0.000117992,0
02-Feb-10,16368.44,16525.98,16129.11,16163.44,-0.011844735,-0.01
03-Feb-10,16210.25,16552.99,16210.25,16496.05,0.020369057,0.02
04-Feb-10,16500.29,16508.22,16188.8,16224.95,-0.016570777,-0.02
05-Feb-10,16222.56,16222.56,15725.43,15790.93,-0.027114456,-0.03
06-Feb-10,15807.75,15951.07,15807.75,15915.65,0.007867177,0.01
08-Feb-10,15931.34,16061.41,15651.99,15935.61,0.001253326,0
09-Feb-10,15940.73,16094.13,15862.9,16042.18,0.006665276,0.01
10-Feb-10,16042.18,16141.13,15892.01,15922.17,-0.007509026,-0.01
11-Feb-10,15928.28,16202.87,15928.28,16152.59,0.014367931,0.01
15-Feb-10,16186.9,16227.04,16011.82,16038.35,-0.007097679,-0.01
16-Feb-10,16042.18,16310.39,16021.29,16226.68,0.011674072,0.01
17-Feb-10,16228.91,16480.89,16228.91,16428.91,0.012385787,0.01
18-Feb-10,16421.2,16452.51,16287.17,16327.84,-0.006170961,-0.01
19-Feb-10,16256.53,16301.94,16074.58,16191.63,-0.008377184,-0.01
22-Feb-10,16191.32,16423.23,16191.32,16237.05,0.002801226,0
23-Feb-10,16213.14,16324.93,16178.91,16286.32,0.003029824,0
24-Feb-10,16218.68,16328.44,16187.44,16255.97,-0.001865266,0
25-Feb-10,16264.1,16329.33,16167.13,16254.2,-0.000108889,0
26-Feb-10,16255.33,16669.25,16249.67,16429.55,0.010730206,0.01
02-Mar-10,16438.45,16808.49,16438.45,16772.56,0.020662675,0.02
03-Mar-10,16778.29,17012.61,16778.29,17000.01,0.013469715,0.01
04-Mar-10,17013.68,17024.96,16888.05,16971.7,-0.001666681,0
05-Mar-10,16988.29,17097.71,16936.12,16994.49,0.001341923,0
08-Mar-10,17034.92,17187.55,17034.92,17102.6,0.006341325,0.01
09-Mar-10,17089.22,17130.83,17031.21,17052.54,-0.002931332,0
10-Mar-10,17072.94,17183.51,17027.92,17098.33,0.002681632,0
11-Mar-10,17087.63,17215.07,17054.28,17167.96,0.004064058,0
12-Mar-10,17176.02,17244.54,17126.93,17166.62,-7.80554E-05,0
15-Mar-10,17166.97,17195.49,17061.14,17164.99,-9.49562E-05,0
16-Mar-10,17169.84,17416.55,17150.06,17383.18,0.012631228,0.01
17-Mar-10,17389.47,17576.78,17389.47,17490.08,0.006130791,0.01
18-Mar-10,17492.81,17548.13,17417.61,17519.26,0.001666984,0
19-Mar-10,17531.47,17600.87,17502.14,17578.23,0.003360357,0
22-Mar-10,17481.96,17559.18,17337.38,17410.57,-0.009583712,-0.01
23-Mar-10,17422.51,17530.79,17356.64,17451.02,0.002320607,0
25-Mar-10,17458.51,17575.23,17383.21,17558.85,0.006159997,0.01
26-Mar-10,17558.85,17682.94,17558.85,17644.76,0.004880759,0
29-Mar-10,17639.18,17793.01,17639.18,17711.35,0.003766822,0
30-Mar-10,17703.67,17783.35,17558.22,17590.17,-0.006865454,-0.01
31-Mar-10,17602.39,17699.5,17488.55,17527.77,-0.003553743,0
01-Apr-10,17555.04,17706.56,17555.04,17692.62,0.009361123,0.01
05-Apr-10,17693.66,17948.54,17693.66,17935.68,0.013644421,0.01
06-Apr-10,17940.32,17991.41,17898,17941.37,0.000317194,0
07-Apr-10,17915.6,18047.86,17878.31,17970.02,0.001595594,0
08-Apr-10,17950.56,17960.91,17679.34,17714.4,-0.014326946,-0.01
09-Apr-10,17715.16,17971.47,17715.16,17933.14,0.01227253,0.01
12-Apr-10,17874.16,17995.25,17816.19,17853,-0.004478836,0
13-Apr-10,17831.38,17892.78,17736.09,17821.96,-0.001740157,0
15-Apr-10,17804.55,17975.57,17619.02,17639.26,-0.010304305,-0.01
16-Apr-10,17645.91,17663.99,17529.55,17591.18,-0.00272946,0
19-Apr-10,17584.86,17584.86,17276.8,17400.68,-0.010888354,-0.01
20-Apr-10,17394.68,17560.09,17394.68,17460.58,0.003436483,0
21-Apr-10,17458.76,17565.55,17446.51,17472.56,0.000685882,0
22-Apr-10,17476.48,17778.34,17408.02,17573.99,0.005788318,0.01
23-Apr-10,17533.88,17725.88,17533.88,17694.2,0.006816934,0.01
26-Apr-10,17692.26,17826.48,17692.26,17745.28,0.002882663,0
27-Apr-10,17744.93,17769.25,17678.56,17690.62,-0.003085009,0
28-Apr-10,17643.59,17643.59,17344.58,17380.08,-0.017709833,-0.02
29-Apr-10,17382.09,17532.86,17382.09,17503.47,0.007074424,0.01
30-Apr-10,17503.47,17646.61,17503.47,17558.71,0.003150976,0
03-May-10,17536.86,17536.86,17345.92,17386.08,-0.009880237,-0.01
04-May-10,17371.75,17464.82,17101.96,17137.14,-0.014421848,-0.01
05-May-10,17103.95,17121.66,16858.23,17087.96,-0.002873916,0
06-May-10,17080.47,17080.47,16823,16987.53,-0.005894576,-0.01
07-May-10,16939.58,16939.58,16684.13,16769.11,-0.012941042,-0.01
10-May-10,16799.49,17356.54,16799.49,17330.55,0.032932337,0.03
11-May-10,17336.13,17379.15,17104.45,17141.53,-0.010966666,-0.01
12-May-10,17141.53,17252.52,17028.08,17195.81,0.003161575,0
13-May-10,17323.63,17389.15,17240.35,17265.87,0.004065971,0
14-May-10,17267.25,17329.32,16923.65,16994.6,-0.015836074,-0.02
17-May-10,16961.92,16961.92,16551,16835.56,-0.00940233,-0.01
18-May-10,16840.59,17000.34,16744.13,16875.76,0.002384957,0
19-May-10,16802.39,16802.39,16373.32,16408.49,-0.028079389,-0.03
20-May-10,16419.1,16617.8,16419.1,16519.68,0.006753514,0.01
21-May-10,16317.94,16486.74,16187.03,16445.61,-0.004493825,0
24-May-10,16494.61,16757.73,16413.03,16469.55,0.001454649,0
25-May-10,16444.57,16444.57,15960.15,16022.48,-0.027520485,-0.03
26-May-10,16069.78,16410.35,16069.78,16387.84,0.02254686,0.02
27-May-10,16410.88,16694.55,16331.1,16666.4,0.01685512,0.02
28-May-10,16692.66,16891.17,16692.66,16863.06,0.011730714,0.01
31-May-10,16872.17,16971.15,16806.5,16944.63,0.004825539,0
01-Jun-10,16942.82,16942.82,16318.39,16572.03,-0.022234635,-0.02
02-Jun-10,16574.79,16774.15,16571.45,16741.84,0.010194641,0.01
03-Jun-10,16786.28,17072.63,16786.28,17022.33,0.016615036,0.02
04-Jun-10,17036.55,17150.42,16963.92,17117.69,0.00558642,0.01
07-Jun-10,17069.77,17069.77,16686.73,16781.07,-0.019860966,-0.02
08-Jun-10,16760.6,16895.73,16560.64,16617.1,-0.00981918,-0.01
09-Jun-10,16621.12,16817.69,16591.26,16657.89,0.002451692,0
10-Jun-10,16668.91,16942.6,16668.91,16922.08,0.0157353,0.02
11-Jun-10,16994.07,17131.56,16994.07,17064.95,0.008407374,0.01
14-Jun-10,17118.74,17351.18,17118.74,17338.17,0.015883777,0.02
15-Jun-10,17355.49,17442.5,17249.46,17412.83,0.004296861,0
16-Jun-10,17500.3,17530.38,17407.3,17462.87,0.002869622,0
17-Jun-10,17490.52,17647.42,17394.9,17616.69,0.008769836,0.01
18-Jun-10,17628.02,17721.99,17525.29,17570.82,-0.002607177,0
21-Jun-10,17654.81,17919.62,17654.81,17876.55,0.017250227,0.02
22-Jun-10,17868.12,17868.12,17725.63,17749.69,-0.007121747,-0.01
23-Jun-10,17694.87,17782.41,17629.19,17755.94,0.000352057,0
24-Jun-10,17750.51,17845.65,17632.8,17730.24,-0.001448451,0
25-Jun-10,17705.11,17714.73,17546.73,17574.53,-0.008820962,-0.01
28-Jun-10,17577.66,17794.8,17571.85,17774.26,0.011300649,0.01
29-Jun-10,17777.95,17777.95,17465.73,17534.09,-0.013604357,-0.01
30-Jun-10,17476.85,17725.04,17373.78,17700.9,0.0094685,0.01
01-Jul-10,17679.34,17679.34,17455.41,17509.33,-0.010881604,-0.01
02-Jul-10,17523.47,17598.94,17426.78,17460.95,-0.002766923,0
05-Jul-10,17473.83,17505.73,17423.74,17441.44,-0.001117975,0
06-Jul-10,17402.68,17643.14,17395.58,17614.48,0.009872307,0.01
07-Jul-10,17623.66,17623.66,17447.15,17471.03,-0.00817721,-0.01
08-Jul-10,17536.48,17728.37,17536.48,17651.73,0.010289715,0.01
