time,Price,Open,High,Low,Vol.,Change_g,Change_cal,Change_r,Change_ln,oil,sensex
58,61.67,61.05,61.98,60.5,186.30K,0.0102,1.015561016,1.02,0.010104388,0.01,0
59,62.45,61.5,62.54,59.53,267.13K,0.0126,1.264796497,1.26,0.012568648,0.01,0
60,63.45,62.87,63.82,62.19,261.89K,0.016,1.601281025,1.6,0.015885958,0.02,0.01
61,65.08,62.91,65.44,62.75,281.44K,0.0257,2.568951931,2.57,0.025365088,0.03,0.01
62,66.31,64.77,66.64,64.68,261.37K,0.0189,1.889981561,1.89,0.018723433,0.02,-0.03
63,68.58,66.48,68.68,66.23,234.08K,0.0342,3.423314734,3.42,0.033660232,0.03,0.03
64,68.55,68.04,69.05,67.5,266.86K,-0.0004,-0.043744532,-0.04,-0.000437541,0,0.02
65,66.12,68.25,68.95,64.95,322.37K,-0.0354,-3.544857768,-3.54,-0.036092133,-0.04,0
66,68.81,66.09,69.6,65.92,304.67K,0.0407,4.068360557,4.07,0.03987781,0.04,-0.01
67,68.44,68.73,70.32,67.54,329.26K,-0.0054,-0.537712542,-0.54,-0.005391634,-0.01,-0.02
68,68.09,68.32,68.95,66.78,289.28K,-0.0051,-0.511396844,-0.51,-0.00512709,-0.01,0.01
69,70.01,68.69,70.69,68.43,316.88K,0.0282,2.819797327,2.82,0.027807729,0.03,-0.03
70,71.33,70.51,71.79,70.43,346.25K,0.0189,1.885444936,1.89,0.018678907,0.02,-0.02
71,72.68,71.46,73.23,71.32,314.79K,0.0189,1.892611804,1.89,0.018749247,0.02,0.02
72,72.04,72.43,72.63,70.8,224.60K,-0.0088,-0.880572372,-0.88,-0.008844723,-0.01,-0.01
73,70.62,72.2,72.35,69.58,242.21K,-0.0197,-1.971127152,-1.97,-0.01990813,-0.02,0
74,70.47,70.31,72.77,69.8,266.35K,-0.0021,-0.212404418,-0.21,-0.002126303,0,0.01
75,71.03,70.26,71.28,69,265.58K,0.0079,0.794664396,0.79,0.007915236,0.01,-0.01
76,71.37,70.82,71.75,70.22,178.85K,0.0048,0.478670984,0.48,0.00477529,0,0.03
77,69.55,71.35,72.3,68.9,115.71K,-0.0255,-2.550091075,-2.55,-0.025831695,-0.03,0
78,66.93,69.89,69.89,66.25,32.07K,-0.0377,-3.767074047,-3.77,-0.038398621,-0.04,-0.02
79,69.24,67.15,69.68,66.37,279.90K,0.0345,3.4513671,3.45,0.033931433,0.03,0.01
80,68.67,68.55,69.86,68.06,242.86K,-0.0082,-0.82322357,-0.82,-0.008266308,-0.01,0
81,70.23,68.29,70.93,68.11,254.94K,0.0227,2.271734382,2.27,0.022463148,0.02,0.02
82,69.16,70.34,71.29,68.81,208.03K,-0.0152,-1.523565428,-1.52,-0.015352909,-0.02,-0.06
83,71.49,69.25,71.92,68.36,229.88K,0.0337,3.368999422,3.37,0.033134919,0.03,0.01
84,69.89,71.6,73.38,68.9,331.55K,-0.0224,-2.238075255,-2.24,-0.022635002,-0.02,-0.03
85,69.31,70.45,71.85,68.52,304.64K,-0.0083,-0.829875519,-0.83,-0.008333382,-0.01,0
86,66.73,69.22,69.74,66.26,243.25K,-0.0372,-3.722406579,-3.72,-0.037934569,-0.04,-0.02
87,64.05,66.49,67.17,63.4,256.99K,-0.0402,-4.016184625,-4.02,-0.040990599,-0.04,-0.01
88,62.93,64.19,64.91,62.21,262.36K,-0.0175,-1.74863388,-1.75,-0.017641031,-0.02,0.03
89,60.14,62.31,62.68,60.01,334.96K,-0.0443,-4.433497537,-4.43,-0.04534782,-0.05,0.03
90,60.41,60.38,61.62,59.25,314.80K,0.0045,0.448952444,0.45,0.004479477,0,0
91,59.89,60.45,60.89,58.72,264.75K,-0.0086,-0.860784638,-0.86,-0.008645108,-0.01,0.03
92,59.69,59.86,60.67,58.32,301.91K,-0.0033,-0.333945567,-0.33,-0.003345044,0,0.03
93,59.52,60.14,61.46,59.15,305.95K,-0.0028,-0.284804825,-0.28,-0.002852112,0,-0.01
94,61.54,59.79,62,59.65,279.73K,0.0339,3.393817204,3.39,0.033374979,0.03,-0.01
95,62.02,62,62.25,60.29,250.04K,0.0078,0.7799805,0.78,0.007769544,0.01,0.03
96,63.56,62.24,63.99,61.04,186.32K,0.0248,2.483069977,2.48,0.024527428,0.02,0.01
97,63.98,63.38,64.9,63.19,125.15K,0.0066,0.660792952,0.66,0.006586193,0.01,0
98,64.72,64.2,65.53,63.51,32.22K,0.0116,1.156611441,1.16,0.011499738,0.01,0
99,65.4,65.03,65.77,63.76,319.99K,0.0105,1.050679852,1.05,0.010451986,0.01,-0.01
100,67.16,65.4,67.49,64.4,321.63K,0.0269,2.691131498,2.69,0.026555574,0.03,0.01
101,68.05,66.62,68.2,66.46,217.27K,0.0133,1.325193568,1.33,0.013164897,0.01,0.02
102,68.38,68.05,68.99,67.6,245.18K,0.0048,0.484937546,0.48,0.004837655,0,0.02
103,67.23,68.26,68.86,66.48,253.56K,-0.0168,-1.681778298,-1.68,-0.016960808,-0.02,-0.01
104,63.35,66.68,67.01,62.7,342.41K,-0.0577,-5.77123308,-5.77,-0.05944467,-0.06,0
105,66.94,62.86,67.29,62.76,344.22K,0.0567,5.666929755,5.67,0.055121789,0.06,-0.02
106,69.45,66.69,69.74,64.96,400.84K,0.0375,3.749626531,3.75,0.036810373,0.04,-0.02
107,71.58,69.3,72.2,69.09,323.46K,0.0307,3.066954644,3.07,0.030208636,0.03,-0.01
108,71.42,71.34,71.95,70.16,285.88K,-0.0022,-0.223526125,-0.22,-0.002237763,0,0
109,71.97,71.82,72.1,69.71,307.55K,0.0077,0.770092411,0.77,0.007671423,0.01,0
110,71.94,71.83,72.42,70.18,328.67K,-0.0004,-0.041684035,-0.04,-0.000416927,0,0.03
111,70.93,71.81,72.84,70.38,367.02K,-0.014,-1.403947734,-1.4,-0.014138963,-0.01,-0.01
112,70.6,70.67,71.57,70.09,304.09K,-0.0047,-0.465247427,-0.47,-0.004663331,0,-0.04
113,69.45,70.76,71.25,68.71,389.08K,-0.0163,-1.628895184,-1.63,-0.016423075,-0.02,0.02
114,70.16,69.67,71.13,68.84,342.27K,0.0102,1.022318215,1.02,0.010171279,0.01,-0.02
115,70.52,70.54,72.21,70.05,322.97K,0.0051,0.513112885,0.51,0.005118009,0.01,0.01
116,67.51,70.9,71.6,67.12,320.14K,-0.0427,-4.268292683,-4.27,-0.043620622,-0.04,0.02
117,66.75,67.69,67.69,65.23,264.79K,-0.0113,-1.125759147,-1.13,-0.011321438,-0.01,0.03
118,69.19,66.8,70.29,66.11,182.99K,0.0366,3.655430712,3.66,0.035902046,0.04,0
119,72.42,70.25,72.8,68.05,126.68K,0.0467,4.668304668,4.67,0.045626161,0.05,0.01
120,72.54,72.15,72.88,71.65,35.49K,0.0017,0.165700083,0.17,0.00165563,0,0
121,73.89,72.88,74.72,72.03,246.23K,0.0186,1.861042184,1.86,0.018439367,0.02,0.01
122,74.37,73.75,74.81,73.57,208.70K,0.0065,0.649614292,0.65,0.006475134,0.01,-0.02
123,72.05,73.97,75,71.11,324.40K,-0.0312,-3.119537448,-3.12,-0.031692312,-0.03,-0.01
124,71.43,71.35,72.64,70.67,255.50K,-0.0086,-0.860513532,-0.86,-0.008642373,-0.01,-0.01
125,72.49,71.36,72.95,69.83,272.73K,0.0148,1.483970321,1.48,0.014730672,0.01,0
