Date,Open,High,Low,Close,Adj Close,Volume,Return,Change
03-01-12,17.528847,17.788462,17.528847,17.653847,13.679369,61054900,,
04-01-12,17.60577,17.884615,17.576923,17.846153,13.828383,44464900,1.09,1.09
05-01-12,17.75,17.884615,17.586538,17.836538,13.820932,47652000,-0.05,1.03
06-01-12,18.009615,18.067308,17.846153,17.932692,13.895441,53112200,0.54,1.58
09-01-12,18.01923,18.153847,17.846153,18.134615,14.051897,48866900,1.13,2.72
10-01-12,18.278847,18.317308,17.903847,18,13.947593,61718200,-0.74,1.96
11-01-12,17.836538,18.221153,17.788462,18.153847,14.066803,49783000,0.85,2.83
12-01-12,18.23077,18.26923,18.038462,18.201923,14.104059,40516100,0.26,3.1
13-01-12,18.057692,18.115385,17.884615,18.115385,14.037005,43718800,-0.48,2.61
17-01-12,18.259615,18.365385,17.961538,18.01923,13.962492,51175100,-0.53,2.07
18-01-12,17.865385,18.317308,17.846153,18.288462,14.171112,55029100,1.49,3.59
19-01-12,18.298077,18.451923,18.201923,18.413462,14.267973,56063900,0.68,4.3
20-01-12,18.086538,18.461538,17.961538,18.413462,14.267973,96129600,0,4.3
23-01-12,18.35577,18.5,18.173077,18.211538,14.111513,52608000,-1.1,3.16
24-01-12,18.115385,18.134615,18.028847,18.115385,14.037005,41326200,-0.53,2.61
25-01-12,18.10577,18.423077,18.067308,18.39423,14.253067,53300200,1.54,4.19
26-01-12,18.51923,18.528847,18.25,18.336538,14.208365,44193200,-0.31,3.87
27-01-12,18.26923,18.39423,18.192308,18.298077,14.178561,33916300,-0.21,3.65
30-01-12,18.10577,18.201923,17.98077,18.173077,14.081703,39240300,-0.68,2.94
31-01-12,18.25,18.278847,17.971153,17.990385,13.940143,48090200,-1.01,1.91
01-02-12,18.211538,18.326923,18.028847,18.048077,13.984844,54097600,0.32,2.23
02-02-12,18.125,18.201923,17.98077,18.028847,13.969946,39325500,-0.11,2.12
03-02-12,18.26923,18.365385,18.192308,18.288462,14.171112,46672900,1.44,3.59
06-02-12,18.259615,18.413462,18.221153,18.317308,14.193467,44445000,0.16,3.76
07-02-12,18.288462,18.461538,18.182692,18.442308,14.290324,37482500,0.68,4.47
08-02-12,18.451923,18.567308,18.346153,18.5,14.335028,35028000,0.31,4.79
09-02-12,18.567308,18.60577,18.375,18.39423,14.253067,45950800,-0.57,4.19
10-02-12,18.259615,18.278847,18.048077,18.153847,14.066803,113926600,-1.31,2.83
13-02-12,18.298077,18.346153,18.173077,18.336538,14.208365,108471100,1.01,3.87
14-02-12,18.201923,18.35577,18.076923,18.211538,14.111513,40798600,-0.68,3.16
15-02-12,18.278847,18.288462,17.98077,18.038462,13.977394,43096400,-0.95,2.18
16-02-12,18.134615,18.298077,18.076923,18.278847,14.163665,42131100,1.33,3.54
17-02-12,18.442308,18.576923,18.375,18.538462,14.364832,60399900,1.42,5.01
21-02-12,18.673077,18.75,18.576923,18.663462,14.461685,43601200,0.67,5.72
22-02-12,18.682692,18.721153,18.442308,18.64423,14.446785,42514000,-0.1,5.61
23-02-12,18.336538,18.625,18.26923,18.567308,14.51957,47453500,-0.41,5.17
24-02-12,18.615385,18.625,18.403847,18.5,14.466934,24881800,-0.36,4.79
27-02-12,18.288462,18.423077,18.25,18.336538,14.339108,39022800,-0.88,3.87
28-02-12,18.384615,18.451923,18.259615,18.423077,14.406788,36423600,0.47,4.36
29-02-12,18.442308,18.509615,18.278847,18.317308,14.324074,46444400,-0.57,3.76
01-03-12,18.413462,18.451923,18.298077,18.384615,14.376706,38827800,0.37,4.14
02-03-12,18.403847,18.403847,18.173077,18.240385,14.263918,37679700,-0.78,3.32
05-03-12,18.221153,18.25,18.009615,18.125,14.173691,36995500,-0.63,2.67
06-03-12,17.884615,17.89423,17.615385,17.711538,13.850365,58499000,-2.28,0.33
07-03-12,17.865385,18.125,17.836538,18.048077,14.113532,56629200,1.9,2.23
08-03-12,18.25,18.35577,18.192308,18.298077,14.309033,37424300,1.39,3.65
09-03-12,18.288462,18.442308,18.192308,18.307692,14.316552,38979000,0.05,3.7
12-03-12,18.35577,18.451923,18.307692,18.39423,14.384221,36763400,0.47,4.19
13-03-12,18.461538,18.903847,18.35577,18.836538,14.730108,66482200,2.4,6.7
14-03-12,18.875,19.125,18.826923,19.028847,14.88049,74206700,1.02,7.79
15-03-12,19.10577,19.423077,19.096153,19.384615,15.158704,79381300,1.87,9.8
16-03-12,19.48077,19.51923,19.240385,19.423077,15.188778,82406900,0.2,10.02
19-03-12,19.307692,19.576923,19.288462,19.432692,15.196299,44436300,0.05,10.08
20-03-12,19.25,19.432692,19.211538,19.298077,15.091032,49437000,-0.69,9.31
21-03-12,19.384615,19.538462,19.26923,19.298077,15.091032,53145700,0,9.31
22-03-12,19.182692,19.192308,18.932692,19.086538,14.92561,52789300,-1.1,8.12
23-03-12,19.028847,19.14423,18.942308,19.01923,14.872976,35580800,-0.35,7.73
26-03-12,19.211538,19.336538,19.153847,19.278847,15.075991,44682100,1.37,9.2
27-03-12,19.346153,19.365385,19.240385,19.26923,15.068476,39853800,-0.05,9.15
28-03-12,19.25,20.192308,19.009615,19.240385,15.045915,57648400,-0.15,8.99
29-03-12,19.057692,19.201923,18.951923,19.182692,15.000798,42289600,-0.3,8.66
30-03-12,19.298077,19.35577,19.182692,19.298077,15.091032,42605400,0.6,9.31
02-04-12,19.259615,19.336538,19.134615,19.25,15.053434,45935900,-0.25,9.04
03-04-12,19.201923,19.25,19.038462,19.192308,15.008317,45549700,-0.3,8.71
04-04-12,18.89423,19.048077,18.865385,18.98077,14.842895,45440800,-1.1,7.52
05-04-12,18.85577,18.951923,18.711538,18.740385,14.654915,41562400,-1.27,6.15
09-04-12,18.365385,18.528847,18.336538,18.461538,14.43686,37815800,-1.49,4.58
10-04-12,18.384615,18.39423,17.98077,18.01923,14.090977,56628400,-2.4,2.07
11-04-12,18.288462,18.413462,18.25,18.278847,14.294001,39341200,1.44,3.54
12-04-12,18.278847,18.576923,18.23077,18.557692,14.512053,29344100,1.53,5.12
13-04-12,18.442308,18.442308,18.134615,18.153847,14.196249,41925200,-2.18,2.83
16-04-12,18.25,18.39423,18.125,18.173077,14.211283,31262300,0.11,2.94
17-04-12,18.298077,18.615385,18.192308,18.596153,14.542128,36941000,2.33,5.34
18-04-12,18.490385,18.596153,18.307692,18.365385,14.36167,34664700,-1.24,4.03
19-04-12,18.432692,18.509615,18.240385,18.403847,14.391744,54255800,0.21,4.25
20-04-12,18.682692,18.884615,18.509615,18.615385,14.557168,70647500,1.15,5.45
23-04-12,18.326923,18.384615,18.211538,18.336538,14.339108,54124600,-1.5,3.87
24-04-12,18.451923,18.846153,18.375,18.788462,14.692512,51549000,2.46,6.43
25-04-12,19.009615,19.048077,18.673077,18.701923,14.624839,50282400,-0.46,5.94
26-04-12,18.682692,18.951923,18.653847,18.865385,14.752665,35968500,0.87,6.86
27-04-12,18.932692,19.10577,18.846153,19.01923,14.872976,38891400,0.82,7.73
30-04-12,18.923077,18.961538,18.692308,18.826923,14.722587,34190200,-1.01,6.64
01-05-12,18.826923,19.182692,18.711538,19.038462,14.888013,36401200,1.12,7.84
02-05-12,18.961538,19.01923,18.76923,19.009615,14.865453,35012000,-0.15,7.68
03-05-12,19.038462,19.038462,18.817308,18.85577,14.745145,25169100,-0.81,6.81
04-05-12,18.807692,18.836538,18.509615,18.596153,14.542128,36191000,-1.38,5.34
07-05-12,18.413462,18.73077,18.403847,18.576923,14.527088,37181000,-0.1,5.23
08-05-12,18.490385,18.586538,18.288462,18.509615,14.474459,41907200,-0.36,4.85
09-05-12,18.26923,18.307692,18.01923,18.182692,14.218801,64171700,-1.77,3
10-05-12,18.384615,18.490385,18.278847,18.35577,14.354147,36747900,0.95,3.98
11-05-12,18.192308,18.528847,18.182692,18.278847,14.294001,27336600,-0.42,3.54
14-05-12,18.096153,18.115385,17.836538,17.884615,13.985707,48857400,-2.16,1.31
15-05-12,17.836538,17.951923,17.615385,17.692308,13.835323,49467200,-1.08,0.22
16-05-12,18.163462,18.51923,17.990385,18.26923,14.286475,88414000,3.26,3.49
17-05-12,18.221153,18.39423,18.14423,18.153847,14.196249,54244400,-0.63,2.83
18-05-12,18.221153,18.423077,18.125,18.221153,14.248878,63582700,0.37,3.21
21-05-12,18.259615,18.451923,18.221153,18.384615,14.376706,40150900,0.9,4.14
22-05-12,18.423077,18.548077,18.326923,18.442308,14.421823,49075200,0.31,4.47
23-05-12,18.384615,18.471153,18.028847,18.442308,14.421823,66040000,0,4.47
24-05-12,18.413462,18.64423,18.288462,18.509615,14.474459,43556700,0.36,4.85
25-05-12,18.548077,18.673077,18.384615,18.461538,14.43686,27921500,-0.26,4.58
29-05-12,18.548077,18.682692,18.461538,18.60577,14.549652,37057200,0.78,5.39
30-05-12,18.451923,18.461538,18.259615,18.307692,14.316552,43511300,-1.6,3.7
31-05-12,18.278847,18.48077,18.14423,18.35577,14.354147,50993900,0.26,3.98
01-06-12,18.096153,18.259615,17.701923,17.826923,13.940591,63377100,-2.88,0.98
04-06-12,17.73077,17.798077,17.35577,17.451923,13.647344,69256200,-2.1,-1.14
05-06-12,17.384615,17.596153,17.326923,17.538462,13.715017,39979400,0.5,-0.65
06-06-12,17.682692,18.153847,17.60577,18.153847,14.196249,44600600,3.51,2.83
07-06-12,18.35577,18.461538,18.173077,18.26923,14.286475,144926600,0.64,3.49
08-06-12,18.25,18.509615,18.173077,18.461538,14.43686,112250800,1.05,4.58
11-06-12,18.60577,18.682692,18.336538,18.375,14.369187,53508900,-0.47,4.08
12-06-12,18.423077,18.73077,18.35577,18.73077,14.647401,48985400,1.94,6.1
13-06-12,18.509615,18.788462,18.461538,18.625,14.564689,41826200,-0.56,5.5
14-06-12,18.615385,19.009615,18.5,18.961538,14.827859,64832100,1.81,7.41
15-06-12,19.10577,19.23077,18.990385,19.23077,15.080458,62186000,1.42,8.93
18-06-12,19.115385,19.211538,18.990385,18.990385,14.891945,43648800,-1.25,7.57
19-06-12,19.10577,19.365385,19.086538,19.23077,15.080458,44909500,1.27,8.93
20-06-12,19.23077,19.375,19.086538,19.326923,15.155849,48607200,0.5,9.48
